1,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,9.78E+12,435910108,$14.52 ,Paperback,Heinemann,Sep-99,1st Edition,"General & Miscellaneous Literature Anthologies, Anthologies",,186
2,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,9.78E+12,1906523371,$13.46 ,Paperback,New Internationalist,10-Aug,,"Short Story Anthologies, African Fiction, African Literature Anthologies",,208
3,African Folktales,Roger D. Abrahams,9.78E+12,394721179,$18.95 ,Paperback,Knopf Doubleday Publishing Group,Aug-83,,"Travel, Africa",,
4,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,9.78E+12,813190762,$30.00 ,Paperback,University Press of Kentucky,3-Dec,Expanded,"United States History - African American History, African American History, African Diaspora History, American Literature Anthologies, Anthologies, Ethnic & Minority Studies, United States History - 18th Century - General & Miscellaneous, Africana - Afric",,416
5,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,9.78E+12,1558615008,$29.95 ,Paperback,"Feminist Press at CUNY, The",5-Aug,,"Literary Criticism - General & Miscellaneous, Oral Tradition & Storytelling, African Literature Anthologies",,560
6,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,9.78E+12,190652324X,$18.95 ,Hardcover,New Internationalist,9-Sep,,Literary Collections,,
7,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,9.78E+12,1592211518,$23.95 ,Hardcover,Africa World Press,6-Feb,New Edition,"Africa - Anthropology & Sociology, African Folklore & Mythology, Oral Tradition & Storytelling, General & Miscellaneous African Literature - Literary Criticism, African Literature Anthologies, Fables, Fairy Tales, & Folk Tales - Literary Criticism",,146
8,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,9.78E+12,803211023,$45.00 ,Hardcover,UNP - Nebraska,9-Dec,,"Literary Criticism - General & Miscellaneous, Caribbean Fiction & Prose Literature - Literary Criticism, African Literature Anthologies",,236
9,Oral Epics from Africa,John William Johnson,9.78E+12,253211107,$24.95 ,Paperback,Indiana University Press,8-Mar,1st Edition,"Literary Criticism, African",,
10,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,9.78E+12,912469099,$14.95 ,Hardcover,"Majority Press, Incorporated, The",Oct-91,,"Literary Criticism, General",,363
11,Land Apart: A South African Reader,Various,9.78E+12,140100040,$12.71 ,Paperback,Penguin Group (USA),Jun-87,,African Literature Anthologies,,256
12,Women Writing Africa: The Eastern Region,Amandina Lihamba,9.78E+12,1558615342,$29.95 ,Paperback,"Feminist Press at CUNY, The",7-Feb,,"Social Sciences, Women's Studies",,
13,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,9.78E+12,795701845,$22.13 ,Paperback,NB Publishers,10-Mar,New Edition,"Places - Literary Anthologies, African Literature Anthologies",,192
14,Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,9.78E+12,471380601,$26.31 ,Hardcover,"Wiley, John & Sons, Incorporated",Oct-00,1,"Peoples & Cultures - American Anthologies, Literature Anthologies - General & Miscellaneous, African Literature Anthologies, African Diaspora (outside U.S.) - General & Miscellaneous, English & Irish Literature Anthologies",,496
15,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,9.78E+12,814781438,,Hardcover,New York University Press,4-Feb,,Language Arts &amp; Disciplines,,
16,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,9.78E+12,1906523142,$16.24 ,Paperback,New Internationalist,9-Jul,10,"Short Story Anthologies, African Fiction, African Literature Anthologies",,214
17,"Traditions in World Literature: Literature of Africa, Softcover Student Edition",McGraw-Hill,9.78E+12,844212024,$7.55 ,Paperback,Glencoe/McGraw-Hill,Jan-99,1,Anthologies,,320
18,Love Child,Gcina Mhlophe,9.78E+12,186914001X,$8.97 ,Paperback,University Of KwaZulu-Natal Press,2-Mar,,African Literature Anthologies,,124
19,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,9.78E+12,1770091459,$25.13 ,Paperback,Jacana Media,6-Jun,,"Short Story Anthologies, African Fiction, African Literature Anthologies",,228
20,Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,9.78E+12,1558614060,$1.99 ,Library Binding,"Feminist Press at CUNY, The",2-Dec,First Edition,"Places - Literary Anthologies, African Literature Anthologies, General & Miscellaneous African History, Women's History - Africa, Sub-Saharan",,560
21,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,9.78E+12,739105620,$82.00 ,Hardcover,The Rowman & Littlefield Publishing Group Inc,2-Dec,,"Caribbean Fiction & Prose Literature - Literary Criticism, African Literature Anthologies, Psychology & Literature",,218
